eng;meaning;ir;score
add;say sth more;abair;0
add;score;scóráil;0
add;score;faigh;0
add;score;gnóthaigh;0
add;in maths;suimigh;0
add;give extra quality;cuir le;0
answer;question;freagair;0
answer;question;freagra a thabhairt ar;0
answer;letter, ad, etc;freagair;0
answer;letter, ad, etc;freagra a thabhairt ar;0
answer;in exam etc;freagra a thabhairt ar;0
answer;in exam etc;freagra a thabhairt ar;0
answer;call, door, etc;freagair;0
answer;criticism etc;freagair;0
answer;criticism etc;freagra a thabhairt ar;0
answer;accusation;freagair;0
answer;solve (problem);réitigh;0
answer;solve (problem);leigheas;0
answer;return (attack, look etc);freagair;0
answer;cater for (need);freastail ar;0
answer;cater for (need);riar ar;0
ask;inquire (obj person);fiafraigh de;0
ask;inquire (obj person);ceist a chur ar;0
ask;inquire (obj question);fiafraigh;0
ask;inquire (obj question);fiosraigh;0
ask;request (obj person);iarr ar;0
ask;request (obj person);lorg ó;0
ask;request (obj request);iarr;0
ask;request (obj request);lorg;0
ask;expect, demand;iarr;0
ask;expect, demand;lorg;0
ask;expect, demand;bheith ag súil le;0
ask;invite;cuireadh;0
ask;invite;cuireadh;0
ask;invite;iarr;0
ask;charge;iarr;0
ask;charge;lorg;0
ask;get permission;cead a fháil;0
ask;get permission;cead a iarraidh;0
bake;cook in oven;bácáil;0
bake;harden in heat;bácáil;0
bake;harden in heat;bruith;0
be;stating status, position, appearance etc;bí;0
be;stating status, position, appearance etc;is;0
be;describing behaviour, temporary state;bí;4
be;describing behaviour, temporary state;is;4
be;equal to amount;bí;0
be;equal to amount;is;0
be;go somewhere;bí;0
be;go somewhere;téigh;0
be;exist;bí ann;0
be;with present participle, to form progressive;bí;0
be;in question tags;bí;0
be;in short answer;bí;0
bounce;of ball etc;preab;0
bounce;of ball etc;léim;0
bounce;of ball etc;bocáil;0
bounce;of light, sound, etc;preab;0
bounce;of light, sound, etc;bocáil;0
bounce;of light, sound, etc;frithchaith;0
bounce;move up and down;preab;0
bounce;move energetically;pocléim;0
bounce;cheque;diúltaigh;0
bounce;cheque;ob;0
bounce;cheque;preab;0
bounce;email;preab ar ais;0
bounce;move sb;caith amach;0
bounce;move sb;bata agus bóthar a thabhairt do;0
bring;carry with you;tabhair leat;0
bring;carry with you;beir leat;0
bring;take to sb;tabhair leat;0
bring;get and return with;faigh;0
bring;provide, supply;cuir ar fáil;0
bring;deliver (income, profit);saothraigh;0
bring;deliver (income, profit);tuill;0
build;building, structure;tóg;0
build;building, structure;déan;0
build;vehicle, machine;déan;0
build;create (reputation, society);cuir le chéile;0
build;create (reputation, society);cruthaigh;0
build;create (reputation, society);déan;0
build;develop (trust etc);forbair;0
build;develop (trust etc);cothaigh;0
build;(of tension, excitement) grow;méadaigh verb;0
build;(of tension, excitement) grow;dul i dtreise;0
build;(of tension, excitement) grow;ardaigh;0
buy;pay money for;ceannaigh;0
buy;bribe;ceannaigh;0
buy;obtain by sacrifice;saothraigh;0
buy;obtain by sacrifice;ceannaigh;0
buy;believe, accept;creid;0
buy;believe, accept;glac le;0
call;name;tabhair ar;0
call;name;glaoigh ar;0
call;describe, refer to as;tabhair ar;0
call;describe, refer to as;glaoigh ar;0
call;agree on;abair;0
call;phone;glaoigh ar;0
call;phone;scairt ar;0
call;phone;glaoch a chur ar;0
call;phone;scairt a chur ar;0
call;phone;scairt a chur;0
call;phone;glaoigh;0
call;phone;scairt;0
call;summon service etc;glaoigh ar;0
call;summon service etc;scairt ar;0
call;summon person etc;glaoigh;0
call;summon person etc;gair;0
call;in court;gair;0
call;in court;glaoigh;0
call;to vocation;gair;0
call;convene;gair;0
